id;word;theme_id
1;Abelha;1
2;Abutre;1
3;Ácaro;1
4;Águia;1
5;Albatroz;1
6;Alce;1
7;Alpaca;1
8;Anaconda;1
9;Anchova;1
10;Andorinha;1
11;Anta;1
12;Antílope;1
13;Aranha;1
14;Arara;1
15;Asno;1
16;Atum;1
17;Avestruz;1
18;Babuíno;1
19;Bacalhau;1
20;Bacuri;1
21;Badejo;1
22;Bagre;1
23;Baiacu;1
24;Baleia;1
25;Barata;1
26;Barbo;1
27;Barracuda;1
28;Beija-flor;1
29;Besouro;1
30;Bem-te-vi;1
31;Bezerro;1
32;Bicho-da-seda;1
33;Bisonte;1
34;Bode;1
35;Boi;1
36;Borboleta;1
37;Boto;1
38;Búfalo;1
39;Burro;1
40;Cabra;1
41;Cachalote;1
42;Cachorro;1
43;Cágado;1
44;Camaleão;1
45;Camarão;1
46;Camelo;1
47;Camundongo;1
48;Canário;1
49;Canguru;1
50;Capivara;1
51;Caracol;1
52;Caranguejo;1
53;Carneiro;1
54;Carrapato;1
55;Cascavel;1
56;Castor;1
57;Cavalo;1
58;Cavalo-marinho;1
59;Cegonha;1
60;Centopeia;1
61;Chimpanzé;1
62;Chinchila;1
63;Chita;1
64;Cigarra;1
65;Cisne;1
66;Coala;1
67;Cobra;1
68;Codorna;1
69;Coelho;1
70;Coiote;1
71;Coruja;1
72;Corvo;1
73;Crocodilo;1
74;Cupim;1
75;Cutia;1
76;Degu;1
77;Diablotim;1
78;Diabo-da-tasmânia;1
79;Diamante-de-gould;1
80;Dingo;1
81;Dinossauro;1
82;Dodô;1
83;Doninha;1
84;Dourado;1
85;Dragão-de-komodo;1
86;Dragão-do-banhado;1
87;Dragão-voador;1
88;Dromedário;1
89;Dugongo;1
90;Égua;1
91;Elefante;1
92;Elefante-marinho;1
93;Ema;1
94;Anchova;1
95;Enferrujado;1
96;Enguia;1
97;Escaravelho;1
98;Escorpião;1
99;Escrevedeira;1
100;Esmerilhão;1
101;Espadarte;1
102;Esponja;1
103;Esquilo;1
104;Estorninho;1
105;Estrela-do-mar;1
106;Esturjão;1
107;Faisão;1
108;Falcão;1
109;Ferreirinho;1
110;Flamingo;1
111;Flautim;1
112;Foca;1
113;Formiga;1
114;Fossa;1
115;Frango-d'água-azul;1
116;Freirinha;1
117;Fuinha;1
118;Furão;1
119;Gafanhoto;1
120;Gaivota;1
121;Galinha;1
122;Galo;1
123;Gambá;1
124;Gamo;1
125;Ganso;1
126;Garça;1
127;Garoupa;1
128;Gato;1
129;Gavião;1
130;Gazela;1
131;Geco;1
132;Gerbo;1
133;Gibão;1
134;Girafa;1
135;Girino;1
136;Gnu;1
137;Golfinho;1
138;Gorila;1
139;Gralha;1
140;Grifo;1
141;Grilo;1
142;Grou;1
143;Lobo-guará: guaxinim;1
144;Hadoque;1
145;Hamster;1
146;Harpia;1
